# IvanTrades - BTC (id -1003504001845) — campioni reali apr-set 2026, parser ivan_btc
# formato: [id] data | testo (\n = a capo)

[526] 2026-08-28T11:39 | Buongiorno, per rientrare aspetto la rottura dei 78.000$
[540] 2026-08-30T23:39 | Mi raccomando per chi nel precedente trade ha preso STOP, ridepositate e rientrate Short ora
[545] 2026-08-30T23:39 | Io anche sono rientrato a cazzo duro
[565] 2026-09-02T12:04 | Proviamo Long su XAGUSD 64.365\n\n TP: OPEN \n\nSL 63.000
[566] 2026-09-02T12:05 | Stop loss a 63.000
[570] 2026-09-02T13:36 | Spostiamo SL a BE
[573] 2026-09-03T10:15 | BTCUSD SELL 77530\n\nTP1: 68000\nTP2: 62000\nTP3: 55000\nTP4: 42000\n\n🛑 SL: 81500\n\nSOLO PER CHI È ENTRATO DA POCO E NON È ANCORA DENTRO IL SELL\n\nSize medio piccole
[576] 2026-09-03T15:04 | A breve potremmo chiudere
[578] 2026-09-03T15:36 | Chiduamo quasi tutto su BTC
[583] 2026-09-08T17:10 | BTCUSD SELL 78700\n\nTP1: 74000\nTP2: 70000\nTP3: 65000\nTP4: 55000\n\n🛑 SL: 81500\n\nSize medio piccole
[588] 2026-09-10T13:40 | XAGUSD rientriamo BUY 64.500\nSize medio basse\n\nSL: 62.700
[591] 2026-09-10T16:25 | Aggiornato SL
[593] 2026-09-11T14:33 | Per i nuovi entrati nella sala BTC
[594] 2026-09-11T14:34 | potete rientrare ora da 78.800
[595] 2026-09-11T14:34 | SELL
[597] 2026-09-11T16:28 | CHE REENTRY🤩🤩🤩
[601] 2026-09-14T22:20 | BTCUSD SELL 78700\n\nTP1: 74000\nTP2: 70000\nTP3: 65000\nTP4: 55000\n\n🛑 SL: 81500\n\nSize medio piccole
[609] 2026-09-16T14:19 | Mettiamo SL a BE
